user,course,period,messages,acad_year,.modules
id27,B,Y2P09,4,2020-2021,2
id27,B,Y2P12,2,NA,0
id28,A,Y1P12,3,2019-2020,1
id28,A,Y1P14,5,NA,0
id28,B,Y2P04,6,2020-2021,2
id28,B,Y2P06,2,2020-2021,2
id29,B,Y2P04,9,2020-2021,2
id29,B,Y2P06,2,2020-2021,2
id29,B,Y2P10,1,2020-2021,3
id29,B,Y2P11,2,2020-2021,2
id30,B,Y2P03,2,2020-2021,2
id30,B,Y2P06,2,2020-2021,2
id30,B,Y2P09,7,2020-2021,2
id31,A,Y1P13,3,2019-2020,1
id31,B,Y2P04,6,2020-2021,2
id31,B,Y2P11,1,2020-2021,2
id31,B,Y2P13,4,2020-2021,2
id32,A,Y1P12,11,2019-2020,1
id32,B,Y2P02,1,2020-2021,2
id32,B,Y2P03,4,2020-2021,2
id32,B,Y2P04,6,2020-2021,2
id32,B,Y2P06,2,2020-2021,2
id32,B,Y2P10,7,2020-2021,3
id32,B,Y2P11,5,2020-2021,2
id33,A,Y1P14,14,NA,0
id33,B,Y2P08,2,NA,0
id33,B,Y2P09,19,2020-2021,2
id33,B,Y2P11,2,2020-2021,2
id34,A,Y1P12,16,2019-2020,1
id34,A,Y1P13,16,2019-2020,1
id34,A,Y1P14,3,NA,0
id34,B,Y2P13,3,2020-2021,2
id34,B,Y2P15,1,NA,0
id35,B,Y2P03,1,2020-2021,2
id35,B,Y2P13,1,2020-2021,2
id36,A,Y1P11,1,2019-2020,2
id36,A,Y1P12,9,2019-2020,1
id36,B,Y2P02,2,2020-2021,2
id36,B,Y2P06,7,2020-2021,2
id36,B,Y2P07,1,NA,0
id36,B,Y2P11,1,2020-2021,2
id37,A,Y1P12,10,2019-2020,1
id37,A,Y1P13,9,2019-2020,1
id37,A,Y1P14,10,NA,0
id37,B,Y2P01,3,NA,0
id37,B,Y2P02,7,2020-2021,2
id37,B,Y2P03,12,2020-2021,2
id37,B,Y2P04,8,2020-2021,2
id37,B,Y2P06,17,2020-2021,2
id37,B,Y2P11,11,2020-2021,2
id37,B,Y2P12,5,NA,0
id37,B,Y2P13,10,2020-2021,2
id38,A,Y1P12,6,2019-2020,1
id38,A,Y1P14,4,NA,0
id38,B,Y2P01,2,NA,0
id38,B,Y2P05,21,2020-2021,2
id38,B,Y2P07,7,NA,0
id38,B,Y2P08,5,NA,0
id38,B,Y2P09,2,2020-2021,2
id38,B,Y2P11,6,2020-2021,2
id38,B,Y2P13,8,2020-2021,2
id38,B,Y2P14,7,2020-2021,1
id38,B,Y2P15,5,NA,0
id39,B,Y2P04,2,2020-2021,2
id39,B,Y2P06,3,2020-2021,2
id39,B,Y2P10,2,2020-2021,3
id39,B,Y2P13,3,2020-2021,2
id40,A,Y1P14,1,NA,0
id40,B,Y2P11,1,2020-2021,2
id41,A,Y1P12,17,2019-2020,1
id41,A,Y1P13,6,2019-2020,1
id41,A,Y1P14,46,NA,0
id41,A,Y2P06,4,2020-2021,2
id41,A,Y2P12,3,NA,0
id41,B,Y2P05,16,2020-2021,2
id41,B,Y2P06,158,2020-2021,2
id41,B,Y2P07,8,NA,0
id41,B,Y2P08,10,NA,0
id41,B,Y2P09,2,2020-2021,2
id41,B,Y2P10,14,2020-2021,3
id41,B,Y2P11,51,2020-2021,2
id41,B,Y2P12,83,NA,0
id41,B,Y2P13,51,2020-2021,2
id41,B,Y2P14,11,2020-2021,1
id42,A,Y1P14,5,NA,0
id42,B,Y2P01,3,NA,0
id42,B,Y2P03,1,2020-2021,2
id42,B,Y2P04,15,2020-2021,2
id42,B,Y2P05,7,2020-2021,2
id42,B,Y2P06,20,2020-2021,2
id42,B,Y2P08,5,NA,0
id42,B,Y2P09,3,2020-2021,2
id42,B,Y2P13,22,2020-2021,2
id42,B,Y2P14,17,2020-2021,1
id43,A,Y1P12,1,2019-2020,1
id43,B,Y2P04,7,2020-2021,2
id43,B,Y2P09,5,2020-2021,2
id43,B,Y2P11,14,2020-2021,2
id44,B,Y2P01,2,NA,0
id44,B,Y2P06,1,2020-2021,2
id44,B,Y2P07,2,NA,0
id44,B,Y2P11,4,2020-2021,2
id45,A,Y1P12,2,2019-2020,1
id45,B,Y2P04,4,2020-2021,2
id46,A,Y1P12,1,2019-2020,1
id46,B,Y2P05,1,2020-2021,2
id46,B,Y2P06,11,2020-2021,2
id46,B,Y2P07,7,NA,0
id46,B,Y2P09,4,2020-2021,2
id46,B,Y2P10,8,2020-2021,3
id46,B,Y2P11,5,2020-2021,2
id47,A,Y1P12,1,2019-2020,1
id47,B,Y2P02,4,2020-2021,2
id47,B,Y2P11,6,2020-2021,2
id48,A,Y1P13,2,2019-2020,1
id48,A,Y1P14,1,NA,0
id48,B,Y2P03,2,2020-2021,2
id48,B,Y2P04,2,2020-2021,2
id48,B,Y2P09,2,2020-2021,2
id49,A,Y1P12,1,2019-2020,1
id49,B,Y2P11,2,2020-2021,2
id50,A,Y1P12,5,2019-2020,1
id50,A,Y1P13,9,2019-2020,1
id50,A,Y1P14,4,NA,0
id50,B,Y2P04,19,2020-2021,2
id50,B,Y2P06,3,2020-2021,2
id50,B,Y2P09,3,2020-2021,2
id50,B,Y2P10,4,2020-2021,3
id50,B,Y2P11,2,2020-2021,2
id50,B,Y2P13,2,2020-2021,2
id51,A,Y1P12,1,2019-2020,1
id51,B,Y2P01,2,NA,0
id51,B,Y2P04,4,2020-2021,2
id51,B,Y2P05,3,2020-2021,2
id51,B,Y2P06,4,2020-2021,2
id51,B,Y2P10,2,2020-2021,3
id52,A,Y1P12,6,2019-2020,1
id52,A,Y1P13,4,2019-2020,1
id52,A,Y1P14,9,NA,0
id52,B,Y2P04,10,2020-2021,2
id52,B,Y2P05,3,2020-2021,2
id52,B,Y2P06,10,2020-2021,2
id52,B,Y2P09,10,2020-2021,2
id52,B,Y2P10,26,2020-2021,3
id52,B,Y2P11,11,2020-2021,2
id52,B,Y2P13,12,2020-2021,2
id53,B,Y2P09,2,2020-2021,2
id53,B,Y2P11,3,2020-2021,2
id54,A,Y1P14,1,NA,0
id54,B,Y2P04,1,2020-2021,2
id54,B,Y2P10,5,2020-2021,3
id54,B,Y2P11,3,2020-2021,2
id56,A,Y1P12,2,2019-2020,1
id56,B,Y2P03,15,2020-2021,2
id56,B,Y2P05,3,2020-2021,2
id56,B,Y2P06,6,2020-2021,2
id56,B,Y2P09,4,2020-2021,2
id56,B,Y2P10,4,2020-2021,3
id56,B,Y2P11,4,2020-2021,2
id56,B,Y2P12,3,NA,0
id57,A,Y1P12,30,2019-2020,1
id57,A,Y1P14,3,NA,0
id57,B,Y2P04,7,2020-2021,2
id57,B,Y2P05,2,2020-2021,2
id57,B,Y2P06,7,2020-2021,2
id57,B,Y2P09,7,2020-2021,2
id57,B,Y2P10,2,2020-2021,3
id58,A,Y1P12,4,2019-2020,1
id58,A,Y1P13,5,2019-2020,1
id58,B,Y2P01,1,NA,0
id58,B,Y2P03,3,2020-2021,2
id58,B,Y2P04,12,2020-2021,2
id58,B,Y2P05,1,2020-2021,2
id58,B,Y2P06,3,2020-2021,2
id58,B,Y2P07,4,NA,0
id58,B,Y2P08,33,NA,0
id58,B,Y2P11,2,2020-2021,2
id58,B,Y2P13,1,2020-2021,2
id59,A,Y1P12,3,2019-2020,1
id59,B,Y2P02,4,2020-2021,2
id59,B,Y2P09,2,2020-2021,2
id59,B,Y2P14,4,2020-2021,1
id60,B,Y2P05,4,2020-2021,2
id60,B,Y2P06,1,2020-2021,2
id60,B,Y2P09,1,2020-2021,2
id60,B,Y2P11,2,2020-2021,2
id61,B,Y2P04,6,2020-2021,2
id61,B,Y2P08,1,NA,0
id61,B,Y2P09,5,2020-2021,2
id61,B,Y2P10,7,2020-2021,3
id61,B,Y2P11,1,2020-2021,2
id61,B,Y2P13,1,2020-2021,2
id63,B,Y2P15,1,NA,0
id65,A,Y2P04,6,2020-2021,2
id67,A,Y1P12,6,2019-2020,1
id68,B,Y2P08,2,NA,0
id69,B,Y2P02,4,2020-2021,2
id69,B,Y2P03,2,2020-2021,2
id69,B,Y2P04,3,2020-2021,2
id69,B,Y2P05,2,2020-2021,2
id69,B,Y2P06,7,2020-2021,2
id69,B,Y2P08,2,NA,0
id69,B,Y2P13,2,2020-2021,2
id71,A,Y2P04,7,2020-2021,2
id71,A,Y2P05,7,2020-2021,2
id71,A,Y2P06,5,2020-2021,2
id71,A,Y2P10,3,2020-2021,3
id72,A,Y2P04,11,2020-2021,2
id72,A,Y2P05,24,2020-2021,2
id72,A,Y2P06,5,2020-2021,2
id72,A,Y2P10,3,2020-2021,3
id72,A,Y2P11,3,2020-2021,2
id72,A,Y2P15,5,NA,0
id72,B,Y2P05,2,2020-2021,2
id72,B,Y2P06,3,2020-2021,2
id72,B,Y2P10,5,2020-2021,3
id75,B,Y1P13,11,2019-2020,1
id75,B,Y1P14,1,NA,0
id76,A,Y2P04,1,2020-2021,2
id77,A,Y2P02,2,2020-2021,2
id77,A,Y2P04,11,2020-2021,2
id77,A,Y2P05,7,2020-2021,2
id77,A,Y2P06,12,2020-2021,2
id77,A,Y2P07,2,NA,0
id77,A,Y2P10,5,2020-2021,3
id77,A,Y2P11,8,2020-2021,2
id77,A,Y2P14,7,2020-2021,1
id77,A,Y2P15,8,NA,0
id77,B,Y2P06,2,2020-2021,2
id77,B,Y2P11,6,2020-2021,2
id77,B,Y2P13,4,2020-2021,2
id77,B,Y2P14,3,2020-2021,1
id80,A,Y2P11,2,2020-2021,2
id80,A,Y2P15,1,NA,0
id81,A,Y2P05,1,2020-2021,2
id81,A,Y2P07,2,NA,0
id81,A,Y2P08,20,NA,0
id81,A,Y2P11,5,2020-2021,2
id81,A,Y2P14,2,2020-2021,1
id81,A,Y2P15,1,NA,0
id82,A,Y2P05,1,2020-2021,2
id82,A,Y2P06,7,2020-2021,2
id82,A,Y2P09,2,2020-2021,2
id82,A,Y2P10,1,2020-2021,3
id82,A,Y2P11,17,2020-2021,2
id83,A,Y2P03,3,2020-2021,2
id83,A,Y2P05,1,2020-2021,2
id83,A,Y2P11,1,2020-2021,2
id84,A,Y2P04,3,2020-2021,2
id84,A,Y2P05,15,2020-2021,2
id84,A,Y2P06,2,2020-2021,2
id84,A,Y2P09,2,2020-2021,2
id84,A,Y2P15,3,NA,0
id86,A,Y2P03,1,2020-2021,2
id86,A,Y2P04,28,2020-2021,2
id86,A,Y2P05,10,2020-2021,2
id86,A,Y2P07,1,NA,0
id86,A,Y2P08,1,NA,0
id86,A,Y2P09,5,2020-2021,2
id86,A,Y2P10,11,2020-2021,3
id86,A,Y2P12,10,NA,0
id86,A,Y2P13,9,2020-2021,2
id86,A,Y2P14,2,2020-2021,1
id86,A,Y2P15,2,NA,0
id87,A,Y2P05,28,2020-2021,2
id87,A,Y2P12,7,NA,0
id89,A,Y2P04,2,2020-2021,2
id89,A,Y2P05,21,2020-2021,2
id89,A,Y2P06,8,2020-2021,2
id89,A,Y2P07,8,NA,0
id89,A,Y2P10,8,2020-2021,3
id89,A,Y2P11,2,2020-2021,2
id89,A,Y2P12,6,NA,0
id89,A,Y2P14,7,2020-2021,1
id90,A,Y2P03,2,2020-2021,2
id90,A,Y2P08,3,NA,0
id90,A,Y2P09,5,2020-2021,2
id90,A,Y2P10,7,2020-2021,3
id90,A,Y2P11,1,2020-2021,2
id90,A,Y2P12,7,NA,0
id90,A,Y2P13,9,2020-2021,2
id91,A,Y2P07,4,NA,0
id91,A,Y2P08,4,NA,0
id91,A,Y2P09,1,2020-2021,2
id91,A,Y2P10,21,2020-2021,3
id91,A,Y2P11,10,2020-2021,2
id91,A,Y2P15,16,NA,0
id92,A,Y2P03,20,2020-2021,2
id92,A,Y2P04,40,2020-2021,2
id92,A,Y2P05,4,2020-2021,2
id92,A,Y2P07,64,NA,0
id92,A,Y2P09,3,2020-2021,2
id92,A,Y2P10,1,2020-2021,3
id92,A,Y2P11,16,2020-2021,2
id92,A,Y2P12,5,NA,0
id92,A,Y2P13,2,2020-2021,2
id92,A,Y2P14,11,2020-2021,1
id92,A,Y2P15,6,NA,0
id93,A,Y2P06,1,2020-2021,2
id95,A,Y2P05,2,2020-2021,2
id95,A,Y2P07,1,NA,0
id95,A,Y2P15,1,NA,0
id96,A,Y2P03,2,2020-2021,2
id96,A,Y2P04,7,2020-2021,2
id96,A,Y2P10,8,2020-2021,3
id96,A,Y2P11,7,2020-2021,2
id96,A,Y2P12,3,NA,0
id96,A,Y2P14,13,2020-2021,1
id96,A,Y2P15,9,NA,0
id97,A,Y2P03,5,2020-2021,2
id97,A,Y2P04,64,2020-2021,2
id97,A,Y2P05,71,2020-2021,2
id97,A,Y2P06,35,2020-2021,2
id97,A,Y2P09,40,2020-2021,2
id97,A,Y2P10,71,2020-2021,3
id97,A,Y2P11,39,2020-2021,2
id97,A,Y2P12,31,NA,0
id97,A,Y2P13,15,2020-2021,2
id97,A,Y2P14,22,2020-2021,1
id98,A,Y2P10,1,2020-2021,3
id98,A,Y2P13,1,2020-2021,2
id99,A,Y2P04,7,2020-2021,2
id99,A,Y2P05,2,2020-2021,2
id99,A,Y2P10,2,2020-2021,3
id99,A,Y2P12,5,NA,0
id99,A,Y2P14,2,2020-2021,1
